status,display_name,first_name,last_name,esb_id,gsis_id,suffix,birth_date,college_name,position_group,position,jersey_number,height,weight,years_of_experience,team_abbr,team_seq,current_team_id,football_name,entry_year,rookie_year,draft_club,college_conference,status_description_abbr,status_short_description,gsis_it_id,short_name,smart_id,headshot,draft_number,uniform_number,draft_round,season
RET,Andrae Kirk,Andrae,Kirk,KIR253552,00-0031705,,,,LB,LB,49,74,225,0,ARI,,3800,,,,,,,,,,32004b49-5225-3552-b46d-d4469cb704c1,,,,,
DEV,Andre Baccellia,Andre,Baccellia,BAC133180,00-0035876,,,Washington,WR,WR,82,70,175,2,ARI,,3800,Andre,2020,2020,,Pacific Twelve Conference,P01,Practice Squad,52778,A.Baccellia,32004241-4313-3180-7b1e-26db2b1b1ffe,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cjdonjdmsxhnjvrkn7qs",,82,,2020
CUT,Andre Branch,Andre,Branch,BRA489900,00-0029600,,14-07-1989,Clemson,DL,DE,49,77,263,8,ARI,1,3800,Andre,2012,2012,JAX,Atlantic Coast Conference,A01,Active,38568,A.Branch,32004252-4148-9900-d0c4-48d7dc125b30,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/i21ppzdcbxr7iu1n2scy",38,,,
DEV,Andre Chachere,Andre,Chachere,CHA014180,00-0034623,,10-02-1996,San Jose State,DB,SS,36,72,195,3,ARI,1,3800,Andre,2018,2018,,Mountain West Conference,P06,PS; Exc,46807,A.Chachere,32004348-4101-4180-3457-54bd5d6a2924,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/epzx18gm6zykc2z5rruc",,36,,
RET,Andre Hardy,Andre,Hardy,HAR072075,00-0028843,,,,TE,TE,80,78,245,1,ARI,,3800,,,,,,,,,,32004841-5207-2075-c4d9-6759a301195e,,,,,
RET,Andre Waters,Andre,Waters,WAT043714,00-0017285,,,,DB,DB,,71,200,12,ARI,,3800,,,,,,,,,,32005741-5404-3714-9692-92226f38f486,,,,,
RET,Andrew Rich,Andrew,Rich,RIC182288,00-0028727,,,,DB,DB,38,75,217,0,ARI,,3800,,,,,,,,,,32005249-4318-2288-35d0-f9c9b1d3ae5e,,,,,
RET,Andy Bowers,Andy,Bowers,BOW185145,00-0020012,,,,DL,DE,71,77,283,2,ARI,,3800,,,,,,,,,,3200424f-5718-5145-4199-ebbe548b29d8,,,,,
U01,Andy Lee,Andy,Lee,LEE008195,00-0022824,,11-08-1982,Pittsburgh,SPEC,P,14,73,185,17,ARI,1,3800,Andy,2004,2004,SF,Big East,U01,R/UFA,29141,A.Lee,32004c45-4500-8195-3f84-7c9db88c8928,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bfozbs2h9jueavslvw3z",188,14,,
RET,Andy McCullough,Andy,McCullough,MCC749526,00-0010762,,,,WR,WR,84,75,210,1,ARI,,3800,,,,,,,,,,32004d43-4374-9526-3c98-61a811b26937,,,,,
RET,Angel Rubio,Angel,Rubio,RUB488116,00-0014128,,,,DL,DE,78,74,307,1,ARI,,3800,,,,,,,,,,32005255-4248-8116-c105-513c58b386d6,,,,,
RET,Anthony Edwards,Anthony,Edwards,EDW092286,00-0004745,,,,WR,WR,83,70,195,10,ARI,,3800,,,,,,,,,,32004544-5709-2286-e460-be8fcf948a78,,,,,
RET,Anthony Gaitor,Anthony,Gaitor,GAI804192,00-0028160,,,,DB,DB,,70,182,4,ARI,,3800,,,,,,,,,,32004741-4980-4192-3cf8-f049e6557d04,,,,,
RET,Anthony McCloud,Anthony,McCloud,MCC415769,00-0029932,,,,DL,DT,95,74,313,1,ARI,,3800,,,,,,,,,,32004d43-4341-5769-8528-63c7770db073,,,,,
RET,Anthony Morelli,Anthony,Morelli,MOR108056,00-0025936,,,,QB,QB,12,76,231,0,ARI,,3800,,,,,,,,,,32004d4f-5210-8056-95c3-e05ed40fd748,,,,,
RET,Anthony Walters,Anthony,Walters,WAL664834,00-0028357,,,,DB,DB,45,73,207,4,ARI,,3800,,,,,,,,,,32005741-4c66-4834-a54e-6d57d5b615f3,,,,,
RET,Anthony White,Anthony,White,WHI079322,00-0018980,,,,RB,RB,30,72,195,1,ARI,,3800,,,,,,,,,,32005748-4907-9322-be16-1fca38fd7543,,,,,
RET,Antoine McClain,Antoine,McClain,MCC305576,00-0029379,,,,OL,G,60,77,336,2,ARI,,3800,,,,,,,,,,32004d43-4330-5576-39c2-5b156687c1f9,,,,,
RET,Antonio Cochran,Antonio,Cochran,COC108154,00-0003161,,,,DL,DE,94,76,299,7,ARI,,3800,,,,,,,,,,3200434f-4310-8154-2fc2-4164bc012789,,,,,
RET,Antonio Coleman,Antonio,Coleman,COL216615,00-0027209,,,,LB,LB,57,73,254,3,ARI,,3800,,,,,,,,,,3200434f-4c21-6615-887e-58779db8d962,,,,,
,A.J. Stamps,A.J.,Stamps,STA319474,00-0032992,,,,,,,,,,,,,,,,,,,,44015,,32005354-4131-9474-66d9-efec07c3739e,,,,,
ACT,Antonio Hamilton,Antonio,Hamilton,HAM184824,00-0032933,,24-01-1993,South Carolina State,DB,CB,33,72,190,8,ARI,1,3800,Antonio,2016,2016,,Mid-Eastern Athletic Conference,A01,Active,43986,A.Hamilton,32004841-4d18-4824-5017-25555a65166e,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/z6dbj3i5gt4thb9nycvm",,33,,
CUT,Antwaun Woods,Antwaun,Woods,WOO412059,00-0032871,,03-01-1993,Southern California,DL,DT,92,73,318,3,ARI,1,3800,Antwaun,2016,2016,,Pacific Twelve Conference,P02,Prac Sq.; Inj,43938,A.Woods,3200574f-4f41-2059-3719-c01a1b29ff85,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qdd3dcj1cukyqvxzn1zx",,92,,
RET,Arnold Jackson,Arnold,Jackson,JAC038181,00-0020018,,,,WR,WR,84,68,173,2,ARI,,3800,,,,,,,,,,32004a41-4303-8181-2515-8d12b2d3a1f9,,,,,
CUT,Arthur Moats,Arthur,Moats,MOA594964,00-0027777,III,14-03-1988,James Madison,DL,DE,93,72,246,9,ARI,1,3800,Arthur,2010,2010,BUF,Colonial Athletic Association,A01,Active,35617,A.Moats,32004d4f-4159-4964-de6d-9f2d38abcfa5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/e8poi1eiwekisknibttd",178,,,
CUT,Auden Tate,Audeen,Tate,TAT130154,00-0034686,,03-02-1997,Florida State,WR,WR,89,77,228,3,ARI,1,3800,Auden,2018,2018,CIN,Atlantic Coast Conference,A01,Active,46322,A.Tate,32005441-5413-0154-6d9d-5c163b90a894,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gp64utjveglpbit53u3t",253,89,,
CUT,Austin Wolf,Austin,Wolf,WOL102282,00-0034889,,12-10-1994,Akron,WR,WR,15,75,190,0,ARI,1,3800,Austin,2018,2018,,Mid-American Conference,A01,Active,47018,,3200574f-4c10-2282-9581-0464fecebdb3,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nsauyaomyaa6a4jrldd6",,,,
ACT,B.J. Ojulari,Jamiu,Ojulari,OJU426541,00-0039155,,,Louisiana State,LB,OLB,18,75,250,0,ARI,,3800,B.J.,2023,2023,ARI,Southeastern Conference,A01,Active,55906,B.Ojulari,32004f4a-5542-6541-4cd9-8e817d1b5514,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/drsorhqyj7le5urztdvm",41,18,,
CUT,Badara Traore,Badara,Traore,TRA290659,00-0036210,,12-03-1997,Louisiana State,OL,T,67,79,320,1,ARI,,3800,Badara,2020,2020,,Southeastern Conference,W03,Waivers/No Rec.,53093,B.Traore,32005452-4129-0659-2682-be900f2a5ea7,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/iohh2k0luvryzgmdljln",,67,,2020
RET,Barron Tanner,Barron,Tanner,TAN404038,00-0016041,,,,DL,DT,92,75,347,6,ARI,,3800,,,,,,,,,,32005441-4e40-4038-aa30-c0cb780c7bea,,,,,
RET,Barry Word,Barry,Word,WOR063891,00-0018247,,,,RB,RB,,74,242,6,ARI,,3800,,,,,,,,,,3200574f-5206-3891-8eb9-9e810088c373,,,,,
DEV,Bashaud Breeland,Bashaud,Breeland,BRE183598,00-0031052,,30-01-1992,Clemson,DB,CB,21,71,195,7,ARI,1,3800,Bashaud,2014,2014,WAS,Atlantic Coast Conference,P07,PS; Vet,41331,B.Breeland,32004252-4518-3598-5e93-309c496e888d,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wc7lhp4kgbjfcojfe2pi",102,21,,
RET,Beanie Wells,Beanie,Wells,WEL350689,00-0027007,,,,RB,RB,26,74,229,4,ARI,,3800,,,,,,,,,,32005745-4c35-0689-feeb-d6e50979bc7c,,,,,
ACT,Beau Sandland,Beau,Sandland,SAN584247,00-0032900,,23-02-1993,Montana State,TE,TE,85,77,255,1,ARI,1,3800,Beau,2016,2016,CAR,Big Sky Conference,A01,Active,43541,,32005341-4e58-4247-68f8-ec6da1f1170c,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hrrmyottbpup6ukl6nih",252,,,
RET,Ben Claxton,Ben,Claxton,CLA712686,00-0022018,,,,OL,C,62,75,300,4,ARI,,3800,,,,,,,,,,3200434c-4171-2686-7e7f-b1c24375116d,,,,,
RET,Ben Patrick,Ben,Patrick,PAT171702,00-0025602,,,,TE,TE,89,75,264,4,ARI,,3800,,,,,,,,,,32005041-5417-1702-f305-e11e3f188bf9,,,,,
DEV,Ben Stille,Ben,Stille,STI399952,00-0037356,,,Nebraska,DL,DT,90,76,293,2,ARI,,3800,Ben,2022,2022,,Big Ten Conference,P01,Practice Squad,54939,B.Stille,32005354-4939-9952-cb4a-e35a8aabba15,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fxuyrw4hbou76kue8ygx",,90,,
DEV,Bernhard Seikovits,Bernhard,Seikovits,SEI577844,00-0037020,,,No College,TE,TE,80,77,262,1,ARI,,3800,Bernhard,2021,2021,,NO COLLEGE,P03,Int'l PSquad,54022,B.Seikovits,32005345-4957-7844-37c0-7f661b87396e,,,80,,
RET,Bertrand Berry,Bertrand,Berry,BER460580,00-0001176,,,,LB,OLB,92,75,254,12,ARI,,3800,,,,,,,,,,32004245-5246-0580-29ff-02a4f4deff74,,,,,
RET,Bhawoh Jue,Bhawoh,Jue,JUE027685,00-0020367,,,,DB,DB,34,72,200,7,ARI,,3800,,,,,,,,,,32004a55-4502-7685-d1dd-58465bde6339,,,,,
RET,Bill Conaty,Bill,Conaty,CON010381,00-0003356,,,,OL,C,63,74,300,9,ARI,,3800,,,,,,,,,,3200434f-4e01-0381-7bdd-7d7508bc9596,,,,,
RET,Blaine Berger,Blaine,Berger,BER064179,00-0001156,,,,DL,DT,90,77,292,1,ARI,,3800,,,,,,,,,,32004245-5206-4179-8d5a-37001eb16862,,,,,
CUT,Blaine Clausell,Blaine,Clausell,CLA707495,00-0031764,,31-01-1992,Mississippi State,OL,OT,75,78,330,1,ARI,1,3800,Blaine,2015,2015,,Southeastern Conference,A01,Active,42795,B.Clausell,3200434c-4170-7495-7005-72984906068a,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a1kmyjeugtz0dtglvh04",,,,
RET,Blake DeChristopher,Blake,DeChristopher,DEC439629,00-0029345,,,,OL,OL,,77,311,0,ARI,,3800,,,,,,,,,,32004445-4343-9629-84f3-cbe77421724f,,,,,
DEV,Blake Whiteheart,Blake,Whiteheart,WHI639076,00-0038710,,,Wake Forest,TE,TE,89,76,243,0,ARI,,3800,Blake,2023,2023,,Atlantic Coast Conference,P01,Practice Squad,56400,B.Whiteheart,32005748-4963-9076-aca2-3ff9b42af377,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ck9tnrariomp7iv2ztbl",,89,,
DEV,Bobby Price,Bobby,Price,PRI058145,00-0036011,,25-04-1998,Norfolk State,DB,FS,26,76,205,4,ARI,,3800,Bobby,2020,2020,,Mid-Eastern Athletic Conference,P07,PS; Vet,52913,B.Price,32005052-4905-8145-5e25-8f7c3c4592e7,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/taralutfxegbij2tznhc",,26,,2020
RET,Brad Badger,Brad,Badger,BAD650964,00-0000576,,,,OL,G,67,76,320,11,ARI,,3800,,,,,,,,,,32004241-4465-0964-c1c3-08a1f705af41,,,,,
RET,Brad Ottis,Brad,Ottis,OTT193802,00-0012446,,,,DL,DE,96,77,290,6,ARI,,3800,,,,,,,,,,32004f54-5419-3802-b8bd-f7b71f43dabb,,,,,
RET,Brad Thorson,Brad,Thorson,THO825970,00-0028688,,,,OL,T,66,77,310,0,ARI,,3800,,,,,,,,,,32005448-4f82-5970-5817-9a349302114e,,,,,
CUT,Branden Bowen,Branden,Bowen,BOW098395,00-0035948,,,Ohio State,OL,T,75,79,315,,ARI,,3800,Branden,2020,2020,,Big Ten Conference,W03,Waivers/No Rec.,52850,B.Bowen,,,,75,,
RET,Brandon Pearce,Brandon,Pearce,PEA219749,00-0026729,,,,OL,T,65,78,290,0,ARI,,3800,,,,,,,,,,32005045-4121-9749-fae3-c316ed3f1852,,,,,
RET,Brandon Sermons,Brandon,Sermons,SER466142,00-0030894,,,,DB,DB,43,71,195,0,ARI,,3800,,,,,,,,,,32005345-5246-6142-a77e-3fc97665a4af,,,,,
RET,Brandon Sharpe,Brandon,Sharpe,SHA431264,00-0027544,,,,LB,LB,48,74,254,1,ARI,,3800,,,,,,,,,,32005348-4143-1264-d237-35b264dec2e2,,,,,
CUT,Brandon Smith,Brandon,Smith,SMI082514,00-0036775,,,Iowa,WR,WR,89,74,215,1,ARI,,3800,Brandon,2021,2021,,Big Ten Conference,W03,Waivers/No Rec.,53986,B.Smith,3200534d-4908-2514-6354-091f5928deef,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gtxmio8zkn17hcwvuhcc",,89,,
RET,Brandon Williams,Brandon,Williams,WIL000003,00-0027087,,,,LB,LB,59,75,250,3,ARI,,3800,,,,,,,,,,32005749-4c00-0003-af32-abf54cd74e6b,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xyhg2qhiozpzbcmttft9",,,,
CUT,Braylon Jones,Braylon,Jones,JON104643,00-0036770,,,Houston,OL,C,63,76,315,1,ARI,,3800,Braylon,2021,2021,,American Athletic Conference,W03,Waivers/No Rec.,53981,B.Jones,32004a4f-4e10-4643-c445-865941a9beff,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q1kxsbgxnf1hnu0foq1h",,63,,
RET,Brian Bollinger,Brian,Bollinger,BOL544716,00-0001440,,,,OL,G,,77,285,3,ARI,,3800,,,,,,,,,,3200424f-4c54-4716-5681-1e0b7e1eb693,,,,,
CUT,Brian Cobbs,Brian,Cobbs,COB743775,00-0039011,,,Utah State,WR,WR,38,74,202,0,ARI,,3800,Brian,2023,2023,,Mountain West Conference,W03,Waivers/No Rec.,56425,B.Cobbs,3200434f-4274-3775-b9c0-7f6401d8139a,,,38O,,
RET,Brian Henesey,Brian,Henesey,HEN394013,00-0007271,,,,RB,RB,,70,215,0,ARI,,3800,,,,,,,,,,32004845-4e39-4013-1d78-07f010059b8e,,,,,
RET,Brian Leonhardt,Brian,Leonhardt,LEO713846,00-0029755,,,,TE,TE,,77,255,2,ARI,,3800,,,,,,,,,,32004c45-4f71-3846-1423-a46d55c7f174,,,,,
CUT,Brian Winters,Brian,Winters,WIN742785,00-0030066,Jr.,10-07-1991,Kent State,OL,G,65,76,320,8,ARI,1,3800,Brian,2013,2013,NYJ,Mid-American Conference,A01,Active,40020,B.Winters,32005749-4e74-2785-fddd-1078700894db,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/usbhho5ygjixpjdocdtn",72,65,,
RET,Brodie Croyle,Brodie,Croyle,CRO809080,00-0024300,,,,QB,QB,14,74,206,6,ARI,,3800,,,,,,,,,,32004352-4f80-9080-96c4-b7c7b2dc7742,,,,,
CUT,Bruno Labelle,Bruno,Labelle,LAB421852,00-0036808,,,Cincinnati,TE,TE,0,76,248,,ARI,,3800,Bruno,2021,2021,,American Athletic Conference,W03,Waivers/No Rec.,54020,B.Labelle,,,,0,,
RET,Bryan Hooks,Bryan,Hooks,HOO362553,00-0007702,,,,DL,DT,,75,286,1,ARI,,3800,,,,,,,,,,3200484f-4f36-2553-4d8a-d9d4f316074c,,,,,
RET,Bryan Reeves,Bryan,Reeves,REE718971,00-0013543,,,,WR,WR,,71,195,2,ARI,,3800,,,,,,,,,,32005245-4571-8971-7204-89cbc8bb3b4e,,,,,
RET,Bryan Robinson,Bryan,Robinson,ROB370712,00-0025937,,,,DL,DT,71,75,297,0,ARI,,3800,,,,,,,,,,3200524f-4237-0712-9b03-0465b1992fee,,,,,
RET,Bryan Robinson,Bryan,Robinson,ROB372405,00-0013845,,,,DL,NT,97,76,305,14,ARI,,3800,,,,,,,,,,3200524f-4237-2405-a446-34155f835717,,,,,
RET,Bryant Nnabuife,Bryant,Nnabuife,NNA098740,00-0028725,,,,DB,DB,29,73,191,0,ARI,,3800,,,,,,,,,,32004e4e-4109-8740-cfbd-167401b8eee6,,,,,
CUT,Bryce Williams,Bryce,Williams,WIL170839,00-0032583,,24-02-1993,East Carolina,TE,TE,80,78,260,1,ARI,1,3800,Bryce,2016,2016,,American Athletic Conference,A01,Active,43703,Bry.Williams,32005749-4c17-0839-abff-574fdf6f43bb,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nrdda7q5gm6fvaf5olhe",,,,
CUT,Bryson Albright,Bryson,Albright,ALB614403,00-0032491,,15-03-1994,Miami (Ohio),DL,OLB,54,77,235,2,ARI,1,3800,Bryson,2016,2016,,Mid-American Conference,R34,R/I-W/I; Not 90,43611,B.Albright,3200414c-4261-4403-d6db-9f47ee9df817,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jlijcunmhmifyqdqhxcz",,,,
CUT,Bryson Young,Bryson,Young,YOU125674,00-0035792,,,Oregon,LB,LB,56,76,242,0,ARI,,3800,Bryson,2020,2020,,Pacific Twelve Conference,W03,Waivers/No Rec.,52694,B.Young,,,,56,,2020
ACT,Budda Baker,Budda,Baker,BAK070449,00-0033890,,10-01-1996,Washington,DB,SS,3,70,195,7,ARI,1,3800,Budda,2017,2017,ARI,Pacific Twelve Conference,A01,Active,44848,B.Baker,32004241-4b07-0449-419d-4d7a3da71f8e,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/im7r8lprgcov8nyammsi",36,3,,
RET,Butch Rolle,Butch,Rolle,ROL519110,00-0013992,,,,TE,TE,,75,242,8,ARI,,3800,,,,,,,,,,3200524f-4c51-9110-da05-7cb2088d5275,,,,,
CUT,C.J. Duncan,C.J.,Duncan,DUN108601,00-0034709,,24-03-1995,Vanderbilt,WR,WR,82,70,195,0,ARI,1,3800,C.J.,2018,2018,,Southeastern Conference,A01,Active,46890,C.Duncan,32004455-4e10-8601-6fa8-ecfbbd199151,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ko9lr6nnjvlyle4e9i3o",,,,
RET,Caleb TerBush,Caleb,TerBush,TER051910,00-0030367,,,,QB,QB,6,77,225,0,ARI,,3800,,,,,,,,,,32005445-5205-1910-5100-52391fc471c0,,,,,
CUT,Cam Murray,Cameron,Murray,,00-0036809,,,Oklahoma State,DL,NT,78,74,299,,ARI,,3800,Cam,2021,2021,,Big Twelve Conference,W03,Waivers/No Rec.,54021,C.Murray,,,,78,,
RET,Cameron Spikes,Cameron,Spikes,SPI237055,00-0015471,,,,OL,G,76,76,313,6,ARI,,3800,,,,,,,,,,32005350-4923-7055-e047-ce8a794a192d,,,,,
ACT,Cameron Thomas,Cameron,Thomas,THO063745,00-0037815,,,San Diego State,LB,OLB,97,77,270,2,ARI,,3800,Cameron,2022,2022,ARI,Mountain West Conference,A01,Active,54552,C.Thomas,32005448-4f06-3745-1011-bed0041e27a2,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/o2sjlgsv60hod3zljns1",87,97,,
CUT,Cap Capi,Cap,Capi,CAP202201,00-0031982,,11-07-1992,Akron,DL,DE,61,75,249,2,ARI,1,3800,Cap,2015,2015,,Mid-American Conference,A01,Active,42983,N.Capi,32004341-5020-2201-a439-7a455312ac82,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/anwmpuvwlksgljdk2zlz",,,,
RET,Cariel Brooks,Cariel,Brooks,BRO119059,00-0031700,,,,DB,DB,35,70,200,2,ARI,,3800,,,,,,,,,,32004252-4f11-9059-fee0-b7eaad4837be,,,,,
RET,Carl Simpson,Carl,Simpson,SIM482121,00-0014942,,,,DL,DT,78,75,292,6,ARI,,3800,,,,,,,,,,32005349-4d48-2121-b73e-4b191b4248b9,,,,,
RET,Carlos Brooks,Carlos,Brooks,BRO119646,00-0001830,,,,DB,DB,,72,200,0,ARI,,3800,,,,,,,,,,32004252-4f11-9646-2731-e7414dfb561c,,,,,
ACT,Carlos Watkins,Carlos,Watkins,WAT180320,00-0033563,,05-12-1993,Clemson,DL,DE,94,75,297,7,ARI,1,3800,Carlos,2017,2017,HOU,Atlantic Coast Conference,A01,Active,44955,C.Watkins,32005741-5418-0320-d762-c84a0526bf5a,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/o69niurwdydh4pxvujru",142,94,,
